202301000001;2023-01-02;3021;1;17,12;754bef3a-2e68-4268-98cb-cbbb9c902cd4;NULL
202301000002;2023-01-08;2078;1;9,37;AVULSO;NULL
202301000003;2023-01-29;2081;2;18,69;45f84970-9bf6-4f3b-ae67-ff3aab695e5b;NULL
202301000004;2023-01-16;6089;2;21,16;AVULSO;NULL
202301000005;2023-01-30;6050;2;16,91;AVULSO;NULL
202301000006;2023-01-09;2002;2;9,45;AVULSO;NULL
202301000007;2023-01-18;2025;1;8,66;7d75de25-57ae-4006-a0e8-501073050a05;NULL
202301000008;2023-01-21;5098;1;276,18;e819d6ef-e804-453e-baa3-4e995fb9edfd;NULL
202301000009;2023-01-30;3077;1;14,05;e24427be-caec-42ce-89b7-01014cb0597c;NULL
202301000010;2023-01-05;6068;1;14,27;787ce038-f96f-4186-b8d9-b587bb5d85ef;NULL
202301000011;2023-01-21;2021;1;10,41;AVULSO;NULL
202301000012;2023-01-31;2040;2;13,11;70dfff62-49ed-4d4b-939c-9087dece324b;NULL
202301000013;2023-01-18;3043;2;9,48;b88eae0b-b3fb-4b38-a854-f1b8b68210ab;NULL
202301000014;2023-01-07;6020;2;20,2;05ca584c-3cd7-4094-a26e-892238b830d1;NULL
202301000015;2023-01-14;3033;1;15,26;cb6144e5-1223-4dde-84cf-9b1bc426179d;NULL
202301000016;2023-01-24;1095;1;24,06;AVULSO;NULL
202301000017;2023-01-01;6004;1;13,26;AVULSO;NULL
202301000018;2023-01-15;7051;2;180,11;AVULSO;NULL
202301000019;2023-01-30;4065;2;389,22;AVULSO;NULL
202301000020;2023-01-11;2077;2;12,86;AVULSO;NULL
202301000021;2023-01-30;5055;1;351,16;AVULSO;NULL
202301000022;2023-01-30;2076;1;7,9;AVULSO;NULL
202301000023;2023-01-04;3090;1;15,09;5bc42f14-4c34-45ee-b0b1-6701fe951564;NULL
202301000024;2023-01-05;2036;1;12,75;AVULSO;NULL
202301000025;2023-01-14;2077;1;11,53;95d4f2f8-62a5-417f-ba9c-b346707d4788;NULL
202301000026;2023-01-07;3007;2;14,38;ea758136-5c16-44c9-a15c-f07d3ba15937;NULL
202301000027;2023-01-28;2078;1;10,98;dc51f16d-5744-49c3-b97e-bb2df1d12ab1;NULL
202301000028;2023-01-07;3051;2;17,45;1164ca1b-ebd7-43a3-9e12-ae1dbd27af98;NULL
202301000029;2023-01-21;2033;2;8,45;AVULSO;NULL
202301000030;2023-01-30;6009;2;40,49;AVULSO;NULL
202301000031;2023-01-20;5051;2;368,01;AVULSO;NULL
202301000032;2023-01-26;3006;2;16,23;086b0e7c-f737-42a6-aa5e-453fe09494ff;NULL
202301000033;2023-01-10;2079;2;18,03;03911d2b-35a6-4f15-a5ec-2df8d23ca627;NULL
202301000034;2023-01-29;2002;1;9,66;bb518407-6002-4801-8281-12065ea6962d;NULL
202301000035;2023-01-25;3056;1;7,59;b2888e0b-ad68-4c02-96c0-6327bde66271;NULL
202301000036;2023-01-07;6087;2;46,91;AVULSO;NULL
202301000037;2023-01-03;2076;1;8,45;AVULSO;NULL
202301000038;2023-01-08;2072;1;9,54;a607b724-9836-4d8c-b6f4-00fe74e2980a;NULL
202301000039;2023-01-02;4026;1;627,01;87475de1-6f16-451b-8477-027fe6005868;NULL
202301000040;2023-01-20;6029;1;11,13;4dd414aa-1b73-4124-8eda-95c2cdb70fc9;NULL
202301000041;2023-01-17;2036;2;12,29;dc3e008c-1ca3-4ddb-b548-bf02da793eea;NULL
202301000042;2023-01-15;3054;2;13,57;AVULSO;NULL
202301000043;2023-01-17;2040;1;11,58;AVULSO;NULL
202301000044;2023-01-18;2057;2;12,21;AVULSO;NULL
202301000045;2023-01-23;3076;2;7,55;AVULSO;NULL
202301000046;2023-01-02;6029;2;10,82;AVULSO;NULL
202301000047;2023-01-29;2051;2;11,59;5697f4b9-6d2a-4da9-bc57-091dce5d664d;NULL
202301000048;2023-01-02;2002;1;8,3;5e9610e4-ea6b-4ac2-a010-1eac6c948821;NULL
202301000049;2023-01-02;3021;1;19,76;30fb263c-8696-4da6-b465-ed44bd9bbd9c;NULL
202301000050;2023-01-15;3098;1;19,7;9b0496c5-a49b-466e-bd57-6e832e0cc3f5;NULL
202301000051;2023-01-22;3034;1;11,31;6b2652d2-2683-4782-8fe5-1b68fd42e53c;NULL
202301000052;2023-01-12;2079;1;17,3;54d6a908-dc60-4ac1-b52b-08b0cac752d3;NULL
202301000053;2023-01-01;3040;1;9,09;AVULSO;NULL
202301000054;2023-01-04;1003;1;16,55;87ef93f5-c520-421d-83de-af046be852c8;NULL
202301000055;2023-01-21;3006;2;18,59;AVULSO;NULL
202301000056;2023-01-22;5088;1;370,32;AVULSO;NULL
202301000057;2023-01-27;1063;2;12,97;a97e49b5-27a8-4d1c-a2bf-3239b4d9c1b4;NULL
202301000058;2023-01-29;6030;1;49,21;5764abe2-b172-4088-82b5-ec79173467c1;NULL
202301000059;2023-01-10;3049;2;34,56;f4f86022-1dcd-4c31-a1d5-9f9b81ef292b;NULL
